world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
201-250,City University of Hong Kong,Australia,Asia,Tropical,13164,16960,No,175,71.32584355,Yes,Online,94,Regional,82,Low,Yes,Yes,Low,6.25,No,Inactive,No Scholarship,18894.44,No,Full Sponsorship,German,IELTS,Consulting,Engineering,1994,5,Gym,Cafeteria,32,Jan-15,No,No,11,85,EUR,Global Ranking Top 100,No,3,7,No,Beaches,Good,6.193609103,Available,No,High,38,Yes,Yes,95.13140659,Yes
301-350,University of Padua,UK,Oceania,Temperate,38488,24432,Yes,175,93.21422781,Yes,Online,75,International,89,Medium,No,No,Low,18.49,Yes,Inactive,Full Scholarship,8061.05,Yes,No Sponsorship,German,TOEFL,Finance,Science,1804,5,Labs,Cafeteria,41,Jan-15,No,Yes,27,85,EUR,Regional Award,No,0,3,Yes,Opera Houses,Excellent,6.6854336,Available,No,Low,47,No,No,77.09143679,No
601-800,Xidian University,USA,Asia,Arid,42333,14766,Yes,175,57.53431085,Yes,Hybrid,85,National,67,Low,Yes,No,Medium,13.42,Yes,Inactive,No Scholarship,7594.34,No,Partial Sponsorship,Mandarin,GRE,Consulting,Science,1836,5,Library,Cafeteria,23,Apr-30,Yes,Yes,24,90,USD,National Recognition,No,7,4,Yes,Waterfronts,Good,9.954291499,Available,Yes,Low,95,Yes,No,79.17380765,No
251-300,Zhejiang University,Canada,Europe,Continental,15514,15642,No,176,86.4789982,No,In-person,96,Regional,100,Medium,Yes,No,High,9.6,No,Inactive,Partial Scholarship,33862.26,Yes,No Sponsorship,French,GRE,Consulting,Technology,1948,5,Library,Food Court,31,Nov-01,Yes,Yes,19,85,GBP,Global Ranking Top 100,Yes,8,9,Yes,Ski Resorts,Excellent,8.776689428,Not Available,Yes,Medium,84,No,Yes,93.16886629,Yes
601-800,Savitribai Phule Pune University,Germany,Oceania,Arid,34418,15724,Yes,176,52.31283904,No,Hybrid,74,National,93,Low,Yes,Yes,Medium,16.44,No,Active,Partial Scholarship,28453.69,No,Full Sponsorship,Mandarin,GRE,Tech,Arts,1998,5,Gym,Restaurants,15,Jan-15,Yes,Yes,16,85,USD,National Recognition,Yes,3,8,No,Amusement Parks,Excellent,8.839299098,Available,Yes,High,85,No,Yes,92.30335623,Yes
601-800,Aligarh Muslim University,UK,Asia,Arid,46555,24000,Yes,177,76.75823108,No,Hybrid,74,International,71,Low,No,Yes,High,6.69,Yes,Active,No Scholarship,11955.66,Yes,Full Sponsorship,English,TOEFL,Tech,Engineering,1819,5,Gym,Cafeteria,44,Jan-15,Yes,Yes,14,90,EUR,Regional Award,No,0,8,Yes,River Walks,Excellent,6.169195603,Available,No,High,96,No,No,71.88094742,No
201-250,Joseph Fourier University,Germany,Europe,Temperate,26623,15330,No,178,66.62546743,No,In-person,75,National,75,High,Yes,Yes,High,14.82,Yes,Inactive,Full Scholarship,31641.71,Yes,Full Sponsorship,Mandarin,None,Healthcare,Law,1890,5,Library,Restaurants,45,Apr-30,No,Yes,14,95,GBP,Global Ranking Top 100,No,7,4,Yes,Historic Bridges,Good,6.255846421,Available,Yes,High,33,Yes,No,94.26455198,No
351-400,Swansea University,Canada,Asia,Tropical,21348,16722,Yes,178,70.33638724,No,Online,97,International,88,Low,No,Yes,High,16.63,No,Active,Full Scholarship,15839.57,Yes,No Sponsorship,German,GRE,Healthcare,Science,1899,3,Labs,Food Court,20,Apr-30,No,No,33,80,GBP,National Recognition,Yes,1,2,No,Wineries,Good,9.943372973,Available,Yes,High,92,No,No,76.21331408,No
5,Massachusetts Institute of Technology,UK,Oceania,Continental,23603,23920,Yes,179,80.2702784,No,Online,74,National,95,High,No,Yes,Medium,15.87,No,Active,No Scholarship,18424.04,No,Full Sponsorship,Mandarin,GRE,Tech,Science,1847,4,Sports Complex,Cafeteria,24,Apr-30,No,No,33,85,USD,National Recognition,No,7,6,No,Lakes,Excellent,8.505189275,Available,Yes,Medium,42,Yes,Yes,92.7427439,No
601-800,Coventry University,Canada,Asia,Arid,49744,19825,No,179,97.43983626,Yes,Hybrid,78,International,60,Medium,Yes,Yes,Medium,14.79,Yes,Active,Full Scholarship,1298.24,Yes,No Sponsorship,Mandarin,TOEFL,Tech,Science,1924,3,Library,Food Court,6,Nov-01,No,No,20,85,GBP,Regional Award,No,8,1,Yes,Coastal Walks,Good,7.148461309,Not Available,Yes,Medium,91,No,No,80.01395843,Yes
251-300,University of Surrey,USA,Oceania,Temperate,36229,9981,Yes,180,50.3836686,No,In-person,84,Regional,85,Low,Yes,No,Medium,9.78,Yes,Active,No Scholarship,40187.01,Yes,Full Sponsorship,Spanish,GRE,Finance,Engineering,1969,5,Labs,Food Court,7,Nov-01,Yes,No,30,90,EUR,Regional Award,No,6,10,No,Museums,Excellent,9.54721179,Not Available,No,High,46,Yes,No,91.58255872,Yes
10,University of Chicago,Australia,Oceania,Continental,18166,23154,No,181,82.76247938,Yes,Online,96,International,95,Medium,No,No,High,8.69,Yes,Active,No Scholarship,48293.6,No,Partial Sponsorship,German,TOEFL,Tech,Engineering,1887,4,Sports Complex,Food Court,35,Nov-01,No,No,36,80,GBP,Regional Award,No,5,9,Yes,Museums,Excellent,6.801505066,Not Available,Yes,High,63,Yes,No,80.71344635,Yes
501-600,United Arab Emirates University,Germany,Asia,Tropical,26471,13468,Yes,181,51.61694522,No,In-person,81,Regional,90,High,No,Yes,Medium,5.72,Yes,Active,Full Scholarship,36924.79,Yes,Full Sponsorship,English,TOEFL,Finance,Technology,1941,4,Sports Complex,Restaurants,19,Jan-15,Yes,No,21,80,GBP,National Recognition,No,0,6,No,Sports Stadiums,Good,9.34225887,Available,No,Low,88,No,Yes,87.7225908,No
601-800,University of Ibadan,Canada,North America,Continental,13737,13235,Yes,181,55.54189571,Yes,Hybrid,85,Regional,66,Low,No,No,Medium,10.6,No,Active,No Scholarship,19687.13,Yes,Partial Sponsorship,German,None,Consulting,Engineering,1907,5,Gym,Restaurants,48,Nov-01,Yes,Yes,30,80,GBP,National Recognition,No,3,6,No,Museums,Good,7.429320286,Not Available,Yes,High,50,Yes,Yes,83.94465671,No
351-400,Indian Institute of Technology Bombay,India,Asia,Temperate,33729,20698,No,182,63.37103657,No,In-person,73,Regional,73,Low,No,Yes,Low,16.61,Yes,Active,No Scholarship,40226.91,No,Full Sponsorship,German,IELTS,Consulting,Technology,1845,3,Sports Complex,Restaurants,18,Nov-01,Yes,No,12,95,USD,Global Ranking Top 100,No,1,4,No,Mountain Ranges,Excellent,7.786370085,Not Available,No,High,90,Yes,No,95.7494531,No
601-800,Moscow Institute of Physics and Technology,Canada,Europe,Temperate,37770,19448,No,183,52.27493913,Yes,In-person,77,National,61,Low,No,No,Medium,11.86,Yes,Inactive,Partial Scholarship,3621.28,No,Full Sponsorship,French,TOEFL,Manufacturing,Arts,1990,5,Sports Complex,Food Court,18,Apr-30,Yes,No,48,85,USD,Regional Award,No,5,10,No,Flea Markets,Excellent,9.053487453,Available,No,Low,19,Yes,Yes,94.56911877,Yes
97,University of Sheffield,Australia,Oceania,Arid,25870,9095,Yes,184,86.95964477,No,Hybrid,99,National,68,High,Yes,No,High,11.55,No,Active,Partial Scholarship,42862.81,No,No Sponsorship,Mandarin,TOEFL,Finance,Engineering,1956,4,Gym,Food Court,16,Jan-15,No,Yes,50,85,USD,Global Ranking Top 100,Yes,4,10,No,Hiking Trails,Excellent,9.09971475,Not Available,Yes,Low,61,Yes,No,95.5800788,No
501-600,Kanazawa University,USA,Asia,Arid,16481,18478,Yes,184,83.49194707,Yes,Hybrid,70,International,72,High,No,No,Medium,8.54,Yes,Inactive,Full Scholarship,37118.1,Yes,Full Sponsorship,Mandarin,IELTS,Finance,Engineering,1971,3,Sports Complex,Restaurants,40,Nov-01,No,No,38,95,GBP,National Recognition,No,5,2,No,Vineyards,Average,7.7203436,Not Available,No,Low,31,Yes,Yes,98.89389445,No
601-800,Adam Mickiewicz University,Australia,Asia,Tropical,20532,16269,Yes,185,59.74530361,No,Online,91,International,69,Medium,Yes,Yes,High,6.87,Yes,Inactive,No Scholarship,16417.31,Yes,Full Sponsorship,Spanish,GRE,Tech,Science,1807,3,Gym,Restaurants,6,Nov-01,No,No,43,90,EUR,Regional Award,Yes,2,8,No,Art Galleries,Good,6.745790654,Available,Yes,High,93,Yes,No,70.30135681,Yes
601-800,Alexandria University,UK,North America,Arid,36029,16659,No,187,74.56807049,No,Online,82,Regional,96,Medium,Yes,Yes,High,12.87,Yes,Active,No Scholarship,23520.08,No,Full Sponsorship,English,TOEFL,Manufacturing,Law,1821,4,Gym,Cafeteria,11,Jan-15,No,No,39,85,EUR,National Recognition,Yes,1,4,Yes,Flea Markets,Good,7.9866956,Available,Yes,Medium,64,No,Yes,84.33480202,No
601-800,Chang Gung University,Germany,Europe,Tropical,49228,16125,Yes,187,69.93258334,Yes,In-person,94,Regional,76,High,No,Yes,Medium,15.1,Yes,Active,No Scholarship,4404.52,Yes,Partial Sponsorship,English,IELTS,Finance,Arts,1937,5,Gym,Restaurants,50,Jan-15,Yes,Yes,18,90,USD,Global Ranking Top 100,Yes,0,2,Yes,Festivals,Excellent,7.364286119,Not Available,Yes,Low,67,No,No,85.98653329,No
351-400,PanthÃ©on-Sorbonne University â€“ Paris 1,USA,Oceania,Arid,36730,16670,Yes,188,77.12578878,Yes,Hybrid,76,National,67,Low,No,Yes,High,16.99,No,Active,Partial Scholarship,27732.07,No,No Sponsorship,French,IELTS,Tech,Business,1848,3,Library,Food Court,33,Apr-30,No,Yes,10,95,EUR,Regional Award,Yes,0,1,Yes,Natural Springs,Good,6.57760808,Not Available,Yes,High,21,Yes,No,72.71352132,Yes
601-800,Sultan Qaboos University,Canada,Asia,Temperate,36706,10375,Yes,188,92.11312607,Yes,In-person,89,International,95,Low,No,No,High,12.83,Yes,Inactive,No Scholarship,9932.14,No,Full Sponsorship,French,None,Finance,Law,1869,4,Sports Complex,Restaurants,27,Jan-15,Yes,No,37,80,GBP,National Recognition,Yes,1,4,No,Parks,Excellent,6.894159851,Available,Yes,Medium,81,Yes,Yes,77.74008799,Yes
9,ETH Zurich â€“ Swiss Federal Institute of Technology Zurich,UK,North America,Tropical,19536,21328,No,189,83.13556581,No,In-person,75,National,61,Low,Yes,No,Low,8.06,No,Inactive,Full Scholarship,21324.57,No,Partial Sponsorship,Mandarin,TOEFL,Manufacturing,Engineering,1910,4,Library,Restaurants,9,Apr-30,Yes,Yes,14,90,USD,National Recognition,No,2,7,Yes,Religious Sites,Excellent,9.498203102,Available,No,Medium,54,No,Yes,71.54143311,Yes
251-300,Charles Darwin University,UK,Europe,Arid,24515,16394,Yes,189,76.33497496,No,Online,87,Regional,86,Low,No,No,High,14.56,Yes,Active,Partial Scholarship,11644.68,Yes,No Sponsorship,French,None,Finance,Business,1988,4,Library,Restaurants,36,Jan-15,Yes,Yes,13,85,USD,National Recognition,No,10,1,Yes,Sports Stadiums,Good,6.036437846,Not Available,No,Low,28,Yes,No,74.34015804,No
601-800,Beijing Institute of Technology,UK,North America,Continental,15944,19843,Yes,190,95.71350783,Yes,Hybrid,96,International,68,High,Yes,No,High,5.78,Yes,Inactive,No Scholarship,48752.49,No,Full Sponsorship,French,TOEFL,Healthcare,Technology,1825,4,Library,Restaurants,42,Jan-15,No,Yes,16,80,USD,Regional Award,No,3,3,No,Archaeological Sites,Average,8.400918651,Available,Yes,Low,62,No,No,86.57105311,No
601-800,University of Belgrade,Canada,Oceania,Arid,47709,11812,No,190,73.5467185,No,Online,93,International,93,High,Yes,No,Low,12.46,No,Inactive,No Scholarship,38884.14,Yes,Full Sponsorship,Mandarin,GRE,Consulting,Engineering,1878,3,Gym,Restaurants,41,Nov-01,No,Yes,34,85,USD,National Recognition,No,2,3,Yes,Archaeological Sites,Average,6.701591242,Not Available,Yes,High,43,No,No,70.52943177,Yes
601-800,Rochester Institute of Technology,Germany,Oceania,Temperate,22117,15918,Yes,190,85.78344664,No,Hybrid,73,Regional,66,Medium,No,Yes,Low,9.01,No,Inactive,No Scholarship,39763.56,Yes,No Sponsorship,German,IELTS,Manufacturing,Engineering,1801,3,Labs,Cafeteria,19,Apr-30,Yes,Yes,29,95,EUR,Regional Award,No,5,3,Yes,Archaeological Sites,Good,7.180624638,Available,Yes,High,62,No,Yes,85.15305093,Yes
601-800,Budapest University of Technology and Economics,Germany,Europe,Temperate,25047,21366,No,191,74.6045024,No,Hybrid,80,International,80,Medium,No,Yes,Low,17.76,No,Active,No Scholarship,17280.83,No,Full Sponsorship,Spanish,GRE,Tech,Technology,1866,3,Library,Food Court,6,Nov-01,No,No,21,95,USD,National Recognition,Yes,9,3,No,Caves,Good,9.911479737,Available,Yes,Medium,86,No,No,77.89891912,No
601-800,National Chung Cheng University,USA,North America,Temperate,26866,23811,Yes,192,58.98623034,No,Online,90,Regional,92,Low,Yes,No,Low,18.65,No,Active,Full Scholarship,7875.81,No,Partial Sponsorship,English,TOEFL,Manufacturing,Science,1937,3,Library,Food Court,38,Apr-30,Yes,No,23,80,GBP,National Recognition,Yes,2,4,No,Hiking Trails,Good,6.884537926,Not Available,Yes,Medium,11,Yes,No,90.80709811,No
101,Ã‰cole Polytechnique,USA,Asia,Tropical,25967,17362,Yes,193,92.17602349,No,Hybrid,86,International,79,Low,No,Yes,Low,15.19,Yes,Active,Full Scholarship,25597.91,Yes,Full Sponsorship,Mandarin,GRE,Finance,Engineering,1908,4,Gym,Cafeteria,49,Jan-15,Yes,Yes,39,80,GBP,Regional Award,Yes,10,2,Yes,Waterfalls,Good,8.093691328,Not Available,Yes,High,84,No,Yes,87.56953747,No
501-600,Manchester Metropolitan University,Germany,Oceania,Tropical,41961,9918,No,193,72.20933603,No,Online,79,International,91,Medium,Yes,Yes,Low,16.87,No,Inactive,Partial Scholarship,34013.95,Yes,Partial Sponsorship,Spanish,None,Healthcare,Science,1976,4,Library,Cafeteria,15,Nov-01,Yes,Yes,17,85,USD,Global Ranking Top 100,Yes,7,3,No,Islands,Good,9.467691375,Not Available,No,Medium,62,Yes,Yes,75.2439908,No
601-800,National Taiwan Ocean University,Canada,Asia,Arid,17726,19006,Yes,193,71.89306847,No,Online,88,Regional,80,High,No,No,Medium,9.62,No,Active,Full Scholarship,9046.56,No,Partial Sponsorship,Spanish,TOEFL,Manufacturing,Arts,1934,4,Library,Restaurants,42,Apr-30,No,Yes,14,90,GBP,Regional Award,Yes,9,8,Yes,Vineyards,Average,7.229514786,Available,No,High,59,Yes,Yes,91.26392949,Yes
351-400,University of Tartu,Germany,Oceania,Continental,28348,24514,No,194,70.76686151,No,Hybrid,78,National,90,Medium,Yes,No,Medium,11.56,No,Active,No Scholarship,41417.68,Yes,Full Sponsorship,German,TOEFL,Healthcare,Arts,1975,3,Gym,Cafeteria,49,Nov-01,No,Yes,31,85,EUR,Regional Award,Yes,9,5,Yes,Museums,Good,9.151047959,Available,Yes,Low,27,No,No,74.33545662,No
401-500,Makerere University,Australia,Europe,Arid,12724,8484,Yes,194,57.77193636,No,Hybrid,77,International,93,Low,No,No,Low,8.06,Yes,Inactive,Partial Scholarship,37553.07,No,Partial Sponsorship,Spanish,GRE,Tech,Technology,1972,4,Gym,Restaurants,15,Nov-01,No,Yes,22,85,USD,National Recognition,Yes,9,8,No,Caves,Average,8.117738299,Not Available,Yes,Low,68,Yes,No,71.88758894,No
601-800,Texas Tech University,UK,Asia,Tropical,24807,16630,No,195,86.58915742,No,Online,77,International,81,Low,No,Yes,High,7.27,No,Active,Partial Scholarship,15571.92,Yes,Full Sponsorship,French,None,Tech,Law,1973,5,Gym,Cafeteria,10,Jan-15,No,Yes,26,95,GBP,National Recognition,Yes,8,6,No,Historic Bridges,Average,7.979075645,Not Available,Yes,Medium,66,Yes,No,83.3188688,Yes
251-300,University of LiÃ¨ge,Canada,Europe,Temperate,37427,8276,Yes,197,50.13923612,Yes,In-person,71,National,73,Medium,Yes,No,High,13.09,No,Inactive,Full Scholarship,9852.51,No,No Sponsorship,English,None,Consulting,Technology,1890,4,Gym,Restaurants,15,Nov-01,Yes,Yes,26,80,USD,Regional Award,Yes,2,5,No,Beaches and Coastal Areas,Excellent,8.901329849,Available,Yes,Low,39,No,No,77.06507827,No
74,University of Groningen,Canada,Europe,Tropical,10284,24116,No,198,60.57109603,Yes,Hybrid,92,International,62,High,No,Yes,Medium,6.7,No,Active,No Scholarship,18550.03,Yes,No Sponsorship,German,None,Consulting,Science,1924,3,Gym,Food Court,14,Jan-15,Yes,Yes,39,85,EUR,Regional Award,Yes,6,1,Yes,Waterfalls,Good,8.938992144,Available,Yes,Medium,72,No,No,79.82443206,Yes
601-800,Kumamoto University,Canada,Europe,Temperate,20960,23815,No,198,57.22131292,No,Online,91,National,82,High,Yes,Yes,Medium,7.58,No,Inactive,Full Scholarship,7616.39,No,No Sponsorship,English,GRE,Finance,Business,1817,4,Sports Complex,Cafeteria,21,Jan-15,No,Yes,49,95,USD,National Recognition,No,3,9,No,Zoos,Good,9.040345538,Available,Yes,Medium,82,Yes,No,71.58860065,No
601-800,University of Salford,USA,Europe,Temperate,16979,23172,No,198,65.57882903,No,In-person,91,National,80,Medium,Yes,Yes,High,17.34,Yes,Inactive,Partial Scholarship,10842.17,No,No Sponsorship,English,None,Consulting,Engineering,1982,5,Sports Complex,Cafeteria,19,Apr-30,Yes,No,20,95,GBP,National Recognition,Yes,1,4,Yes,Archaeological Sites,Excellent,7.674427659,Available,No,High,57,Yes,Yes,91.56075652,No
167,UniversitÃ© Catholique de Louvain,UK,Europe,Arid,25473,15481,Yes,199,83.51021009,No,Online,89,National,98,Medium,Yes,No,Low,6.42,Yes,Active,Full Scholarship,24128.96,No,Full Sponsorship,French,IELTS,Consulting,Law,2018,4,Gym,Restaurants,40,Apr-30,No,No,49,80,USD,National Recognition,No,4,4,Yes,Islands,Excellent,9.839705762,Not Available,No,Low,72,No,No,70.66584397,No
65,University of Minnesota,USA,North America,Arid,16220,15400,Yes,201,87.77111352,No,Online,71,National,77,Medium,No,Yes,High,15.85,Yes,Active,Full Scholarship,27070.11,Yes,Partial Sponsorship,French,TOEFL,Healthcare,Business,1806,4,Sports Complex,Cafeteria,41,Jan-15,Yes,No,46,95,EUR,National Recognition,Yes,6,2,Yes,Wildlife Sanctuaries,Good,7.523955173,Available,Yes,Medium,73,Yes,No,78.59441954,Yes
201-250,Laval University,Canada,North America,Continental,34522,17643,Yes,201,97.72944389,Yes,Hybrid,72,International,68,Medium,No,No,Low,10.22,Yes,Inactive,No Scholarship,24241.86,Yes,Partial Sponsorship,English,TOEFL,Healthcare,Engineering,2004,5,Sports Complex,Cafeteria,8,Apr-30,Yes,No,17,95,GBP,Regional Award,No,7,10,No,Botanical Reserves,Average,9.666701414,Not Available,No,High,19,Yes,No,73.45528205,Yes
201-250,William & Mary,USA,Europe,Continental,17910,13873,Yes,201,73.60075067,Yes,Hybrid,75,National,91,Low,No,No,Low,11.53,No,Inactive,Full Scholarship,26841.37,Yes,Partial Sponsorship,Mandarin,None,Manufacturing,Science,1908,4,Sports Complex,Food Court,34,Jan-15,Yes,No,19,80,EUR,Regional Award,No,3,3,No,Wineries,Excellent,7.661922056,Not Available,No,Low,81,Yes,No,91.40895502,Yes
401-500,University of Ioannina,Canada,Asia,Continental,45500,12282,Yes,201,93.96357198,No,Online,88,International,86,Low,No,No,Medium,16.21,Yes,Active,No Scholarship,16902.05,Yes,Full Sponsorship,French,None,Finance,Arts,1812,4,Sports Complex,Food Court,31,Jan-15,Yes,No,18,85,GBP,Global Ranking Top 100,No,5,3,Yes,Zoos,Average,8.169546275,Not Available,No,High,51,Yes,No,87.73682315,No
201-250,Tokyo Institute of Technology,Germany,Europe,Tropical,34396,23109,Yes,202,96.81248384,Yes,In-person,98,National,89,High,Yes,No,Medium,9.64,Yes,Inactive,Partial Scholarship,34005.61,No,Full Sponsorship,Spanish,GRE,Healthcare,Law,1835,4,Gym,Cafeteria,12,Jan-15,No,No,47,80,GBP,Regional Award,Yes,5,6,Yes,Flea Markets,Good,9.279533052,Not Available,Yes,High,13,Yes,No,82.75292405,Yes
351-400,UiT The Arctic University of Norway,UK,Europe,Continental,24676,15986,Yes,202,88.45148604,Yes,Online,86,Regional,99,Medium,No,Yes,Low,19.49,Yes,Active,Partial Scholarship,39957.66,No,Partial Sponsorship,Spanish,TOEFL,Finance,Law,1973,5,Library,Restaurants,7,Nov-01,Yes,No,19,85,USD,National Recognition,Yes,2,3,Yes,Religious Sites,Excellent,6.052614832,Available,No,Low,28,Yes,Yes,75.64428697,No
601-800,Chonnam National University,UK,Asia,Continental,19026,17168,No,203,59.76046546,Yes,Hybrid,90,International,64,Medium,Yes,Yes,Low,5.14,Yes,Inactive,No Scholarship,33232.76,No,Partial Sponsorship,German,GRE,Healthcare,Law,2014,4,Gym,Cafeteria,8,Nov-01,Yes,Yes,42,85,EUR,National Recognition,No,6,8,Yes,Zoos,Average,8.092467758,Available,Yes,High,34,No,No,91.33370291,No
601-800,Fu Jen Catholic University,Germany,Europe,Continental,14241,17690,Yes,204,64.25618019,No,In-person,71,National,82,High,No,No,High,16.31,No,Active,No Scholarship,39219.49,Yes,Full Sponsorship,German,IELTS,Manufacturing,Law,1958,4,Labs,Restaurants,22,Apr-30,Yes,Yes,50,90,EUR,National Recognition,No,0,8,No,Waterfalls,Good,7.173043476,Not Available,Yes,Medium,48,Yes,Yes,70.86196443,No
601-800,Jagiellonian University,UK,Asia,Tropical,14395,8410,Yes,204,65.47675928,Yes,In-person,72,Regional,71,Medium,Yes,Yes,Low,5.68,Yes,Inactive,Partial Scholarship,5229.94,Yes,Partial Sponsorship,Mandarin,None,Tech,Arts,2018,5,Gym,Cafeteria,21,Apr-30,Yes,No,19,80,EUR,Global Ranking Top 100,No,4,4,No,Opera Houses,Good,7.799392181,Available,Yes,Low,100,No,Yes,85.11954713,Yes
601-800,University of Science and Technology Beijing,Australia,Oceania,Arid,46466,9318,No,204,92.5495928,Yes,Online,96,International,81,Medium,No,Yes,Low,7.58,Yes,Inactive,Full Scholarship,3939.65,No,Full Sponsorship,French,TOEFL,Finance,Technology,1833,4,Sports Complex,Restaurants,43,Jan-15,No,No,44,85,USD,Regional Award,No,8,2,Yes,Coastal Walks,Average,9.761755567,Not Available,Yes,Low,84,No,No,79.93694397,No
401-500,Caâ€™ Foscari University of Venice,Canada,Oceania,Temperate,19519,15629,Yes,205,63.73845105,Yes,Hybrid,73,National,76,Low,No,No,Low,8.48,Yes,Active,No Scholarship,30709.07,Yes,No Sponsorship,German,None,Finance,Engineering,1804,3,Library,Restaurants,11,Nov-01,No,Yes,26,90,USD,Regional Award,Yes,2,7,Yes,Opera Houses,Excellent,9.127075502,Not Available,Yes,Low,47,Yes,No,72.37677067,Yes
401-500,University of Kaiserslautern,UK,Oceania,Arid,21827,17089,Yes,205,97.06592066,Yes,In-person,89,International,70,High,Yes,Yes,High,12.73,Yes,Inactive,Partial Scholarship,36243.97,Yes,Partial Sponsorship,Spanish,TOEFL,Manufacturing,Law,1877,4,Labs,Food Court,47,Jan-15,Yes,Yes,39,85,EUR,Global Ranking Top 100,No,5,1,No,Natural Springs,Good,7.95708156,Available,Yes,Medium,13,Yes,No,82.72983027,No
351-400,University of South Dakota,Australia,Europe,Arid,48483,24112,Yes,206,88.12821321,Yes,In-person,93,Regional,60,Medium,No,No,Low,11.16,Yes,Active,No Scholarship,3614.09,Yes,Full Sponsorship,Mandarin,GRE,Manufacturing,Arts,1918,3,Sports Complex,Cafeteria,41,Nov-01,No,No,40,85,USD,Global Ranking Top 100,Yes,10,7,No,Cliffs,Excellent,9.637797849,Available,No,High,68,Yes,Yes,82.64078129,Yes
